Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020]
2203420,domingos-mouronense,MARIA IRINELDA GOMES DE OLIVEIRA SILVA,848.705,4075,4.8,95.8,0.55,41.67,12625.57011,11843.98706,9576.01,
2203453,inocentino,MARIA DAS VIRGENS DIAS,3871.824,9159,2.37,98.4,0.549,-,20616.96655,18661.41778,10043.03,
2203503,elesbonense,RAFAEL MALTA BARBOSA,1383.976,13607,9.83,98.9,0.58,18.52,29373.79818,27174.11646,10458.6,
2203602,eliseu-martinino,ALDIMAR DE SOUSA DIAS,1097.79,4377,3.99,98.4,0.595,58.82,14592.82853,13664.54798,10497.9,
2203750,farturense,ORLANDO COSTA CAMPINHO BRAGA,713.046,5284,7.41,96.3,0.548,13.16,6866.75212,11281.58375,7914.85,
2203800,florentino-do-piau&iacute;,EVANDRO FERREIRA DA COSTA,946.719,4414,4.66,99.0,0.547,60,13043.44806,11655.99295,9890.89,
2203859,florestense,AMILTON RODRIGUES DE SOUSA,223.199,2333,10.45,99.3,0.538,-,5088.68243,5515.7882,9532.49,
2203909,florianense,ANT&Ocirc;NIO REIS NETO,3407.979,62036,18.2,98.1,0.7,21.57,141641.34217,120928.52775,21866.04,
2204006,francinopolitano,PAULO C&Eacute;SAR RODRIGUES DE MORAIS,268.704,4505,16.77,97.5,0.564,-,12864.19584,11575.86989,7817.02,
2204105,airense,EUG&Ecirc;NIA DE SOUSA NUNES,656.475,4412,6.72,98.1,0.577,35.71,12745.84827,11909.83512,9856.56,
2204154,francisco macedense,ADEILSON ANT&Atilde;O DE CARVALHO,179.245,2929,16.34,97.8,0.553,-,11489.26019,10311.65617,10864.74,
2204204,francisco-santense,LUIS JOS&Eacute; DE BARROS,492.191,8237,16.74,97.4,0.608,33.71,19697.26269,16931.93601,8856.99,
2204303,fronteirense,EUDES AGRIPINO RIBEIRO,777.179,10259,13.2,97.5,0.619,14.93,37581.59783,31546.01684,10158.38,
2204352,geminianense,ERCULANO EDIMILSON DE CARVALHO,440.606,5445,12.36,97.0,0.561,-,14154.26818,12016.40949,10318.12,
2204550,guaribano,JOERCIO MATIAS DE ANDRADE,3118.231,4276,1.37,98.2,0.508,-,13595.51123,12681.98387,9296.46,
2204659,ilhagrandense,MARINA DE OLIVEIRA BRITO,129.696,9274,71.51,98.1,0.563,-,19581.58151,18923.82527,8467.91,
